artist_count;released_year;released_month;released_day;in_spotify_playlists;in_spotify_charts;bpm;danceability__;valence__;energy__;acousticness__;instrumentalness__;liveness__;speechiness__;in_apple_playlists;in_apple_charts;in_deezer_playlists;in_deezer_charts;in_shazam_charts;released_date;track_id_limpo;mode_maiusculo;track_name_limpo;artist_name_limpo;total_playlists;media_total_charts;streams_corrigido;n_musicas;quartil_streams;quartil_bpm;quartil_danceability;quartil_valence;quartil_energy;quartil_acousticness;quartil_instrumentalness;quartil_liveness;quartil_speechiness;segmentacao_streams;segmentacao_bpm;segmentacao_danceability;segmentacao_valence;segmentacao_energy;segmentacao_acousticness;segmentacao_instrumentalness;segmentacao_liveness;segmentacao_speechiness
1;2022;7;29;2688;0;122;55;46;64;0;0;17;10;39;47;36;0;0;29/07/2022;5337859;MINOR;ALIEN SUPERSTAR;BEYONC;2763;11,75;171788484;3;2;3;1;2;2;1;2;3;3;Baixo;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Alto
1;2014;6;5;6339;13;105;56;57;87;0;1;10;4;3;1;36;1;37;05/06/2014;8987545;MINOR;LOVERS ROCK;TV GIRL;6378;13;466231982;1;3;2;1;3;4;1;4;2;2;Alto;Baixo;Baixo;Alto;Alto;Baixo;Alto;Baixo;Baixo
2;2022;11;4;4657;18;153;56;42;52;5;0;36;24;84;84;42;0;23;04/11/2022;4604858;MINOR;RICH FLEX;DRAKE 21 SAVAGE;4783;31,25;573633020;8;3;4;1;2;1;1;3;4;4;Alto;Alto;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Alto
1;2023;7;14;410;36;140;56;48;73;0;0;35;4;36;32;31;1;26;14/07/2023;4487095;MAJOR;OVERDRIVE;POST MALONE;477;23,75;14780425;3;1;3;1;2;3;1;2;4;2;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Baixo
1;2023;1;31;579;0;104;56;72;85;0;0;15;3;11;54;0;0;103;31/01/2023;3546129;MAJOR;EVERYTHING I LOVE;MORGAN WALLEN;590;39,25;95623148;11;1;2;1;4;4;1;1;3;1;Baixo;Baixo;Baixo;Alto;Alto;Baixo;Baixo;Alto;Baixo
1;2022;6;10;829;0;172;56;68;89;4;0;33;19;32;110;26;0;0;10/06/2022;4070434;MAJOR;YET TO COME;BTS;887;27,5;302006641;7;3;4;1;3;4;1;3;4;4;Alto;Alto;Baixo;Alto;Alto;Baixo;Alto;Alto;Alto
1;2021;9;9;1959;9;145;56;41;57;1;0;13;3;52;25;32;0;10;09/09/2021;7429862;MAJOR;ANGEL BABY;TROYE SIVAN;2043;11;408843328;2;3;4;1;2;2;1;1;3;1;Alto;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Baixo
2;2022;8;26;12482;80;128;56;38;97;4;0;35;4;291;184;537;45;727;26/08/2022;5165382;MINOR;IM GOOD BLUE;BEBE REXHA DAVID GUETTA;13310;259;1109433169;1;4;3;1;2;4;1;1;4;1;Alto;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Baixo
1;2016;11;10;8775;0;118;56;25;45;1;3;7;3;33;60;107;1;0;10/11/2016;4944285;MAJOR;ME AND YOUR MAMA;CHILDISH GAMBINO;8915;15,25;445590495;1;3;2;1;1;1;1;4;1;1;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Baixo;Baixo
1;2016;11;4;3006;16;144;57;47;84;1;1;52;4;47;60;87;12;124;04/11/2016;5300224;MINOR;SEX DRUGS ETC;BEACH WEATHER;3140;53;480507035;1;3;4;1;2;4;1;4;4;1;Alto;Alto;Baixo;Baixo;Alto;Baixo;Alto;Alto;Baixo
1;2019;10;4;3444;7;145;57;23;66;4;6;15;4;24;85;102;0;1;04/10/2019;8290102;MAJOR;FORMULA;LABRINTH;3570;23,25;554875730;7;3;4;1;1;2;1;4;3;2;Alto;Alto;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Baixo
1;2018;3;9;3947;12;94;57;36;58;5;0;15;3;33;102;93;0;30;09/03/2018;1471634;MAJOR;SOFTCORE;THE NEIGHBOURHOOD;4073;36;599770206;2;3;1;1;2;2;1;3;3;1;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Baixo
1;2022;9;29;1639;0;123;57;50;85;5;0;16;4;86;14;80;0;37;29/09/2022;3533833;MAJOR;CELESTIAL;ED SHEERAN;1805;12,75;176474912;7;2;3;1;2;4;1;2;3;1;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Baixo
1;1984;10;19;44927;17;84;57;86;90;2;0;9;5;34;0;5108;6;0;19/10/1984;7451979;MINOR;TAKE ON ME;AHA;50069;5,75;1479115056;1;4;1;1;4;4;1;4;1;2;Alto;Baixo;Baixo;Alto;Alto;Baixo;Alto;Baixo;Baixo
1;2022;3;23;1105;0;174;58;56;83;5;0;7;4;32;0;19;0;0;23/03/2022;6009839;MAJOR;PLAN A;PAULO LONDRA;1156;0;240661097;2;2;4;2;3;4;1;4;1;1;Baixo;Alto;Baixo;Alto;Alto;Baixo;Alto;Baixo;Baixo
1;2022;10;12;574;4;102;58;29;94;0;0;9;11;38;101;26;0;0;12/10/2022;2009624;MAJOR;KICK BACK;KENSHI YONEZU;638;26,25;210038833;1;2;2;2;1;4;1;4;1;3;Baixo;Baixo;Baixo;Baixo;Alto;Baixo;Alto;Baixo;Alto
2;2021;9;24;6127;13;105;58;42;68;1;0;14;4;0;0;0;0;0;24/09/2021;4162862;MAJOR;MY UNIVERSE;COLDPLAY BTS;6127;3,25;1061966512;1;4;2;2;2;3;1;1;3;1;Alto;Baixo;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Baixo
1;2022;5;2;5898;5;128;58;68;91;2;0;27;11;129;55;128;0;101;02/05/2022;4566008;MAJOR;AFRAID TO FEEL;LF SYSTEM;6155;40,25;244790012;1;2;3;2;3;4;1;1;4;3;Baixo;Alto;Baixo;Alto;Alto;Baixo;Baixo;Alto;Alto
2;2021;7;9;17050;36;170;59;48;76;4;0;10;5;492;99;798;31;0;09/07/2021;2023156;MAJOR;STAY WITH JUSTIN BIEBER;JUSTIN BIEBER THE KID LAROI;18340;41,5;2665343922;1;4;4;2;2;3;1;3;2;2;Alto;Alto;Baixo;Baixo;Alto;Baixo;Alto;Baixo;Baixo
1;2011;1;1;3909;0;100;59;49;65;2;0;13;3;66;26;277;3;734;01/01/2011;7921549;MINOR;BLOODY MARY;LADY GAGA;4252;190,75;372476382;2;3;2;2;2;2;1;3;3;1;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Baixo
1;2015;1;1;9243;0;114;59;30;62;1;0;8;4;155;5;577;0;6;01/01/2015;1904373;MINOR;COOL FOR THE SUMMER;DEMI LOVATO;9975;2,75;677389855;1;4;2;2;1;2;1;2;1;2;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo
2;2022;8;5;5730;10;145;59;20;74;1;0;15;5;108;16;197;3;165;05/08/2022;5405010;MINOR;MISS YOU;ROBIN SCHULZ OLIVER TREE;6035;48,5;497225336;1;3;4;2;1;3;1;1;3;2;Alto;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Alto;Baixo
1;1984;11;25;14169;0;115;60;23;57;0;2;27;3;209;30;449;0;0;25/11/1984;3891081;MAJOR;DO THEY KNOW ITS CHRISTMAS  1984 VERSION;BAND AID;14827;7,5;481697415;1;3;2;2;1;2;1;4;4;1;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Baixo
1;2022;6;10;279;0;158;60;68;84;4;0;24;11;0;18;6;0;0;10/06/2022;4845139;MINOR;BORN SINGER;BTS;285;4,5;79095270;7;1;4;2;3;4;1;1;4;3;Baixo;Alto;Baixo;Alto;Alto;Baixo;Baixo;Alto;Alto
2;2023;4;21;1169;0;119;60;10;57;1;0;50;3;36;65;28;0;0;21/04/2023;2264316;MINOR;DOUBLE FANTASY WITH FUTURE;THE WEEKND FUTURE;1233;16,25;96180277;1;1;2;2;1;2;1;4;4;1;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Baixo
3;2023;6;2;727;16;90;60;13;53;4;0;21;4;17;60;28;1;44;02/06/2023;6609930;MINOR;AM I DREAMING METRO BOOMIN  AAP ROCKY ROISEE;AAP ROCKY METRO BOOMIN ROISEE;772;30,25;94186466;1;1;1;2;1;1;1;3;3;1;Baixo;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Baixo
1;2014;1;1;7830;42;95;60;48;79;0;0;12;4;94;111;151;4;82;01/01/2014;4796316;MAJOR;STYLE;TAYLOR SWIFT;8075;59,75;786181836;34;4;1;2;2;4;1;3;2;2;Alto;Baixo;Baixo;Baixo;Alto;Baixo;Alto;Baixo;Baixo
1;2021;12;10;975;0;160;60;47;62;3;0;38;4;11;0;10;0;0;10/12/2021;7717973;MAJOR;CIGARETTES;JUICE WRLD;996;0;185408548;2;2;4;2;2;2;1;4;4;1;Baixo;Alto;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Baixo
3;2022;3;18;5290;0;123;60;46;71;3;0;16;4;139;73;142;0;5;18/03/2022;4342968;MINOR;CRAZY WHAT LOVE CAN DO;DAVID GUETTA ELLA HENDERSON BECKY HILL;5571;19,5;286739476;1;3;3;2;2;3;1;3;3;2;Alto;Alto;Baixo;Baixo;Alto;Baixo;Alto;Alto;Baixo
3;2023;4;6;4277;66;128;60;23;91;0;0;12;3;145;111;213;11;810;06/04/2023;7107144;MAJOR;BABY DONT HURT ME;DAVID GUETTA ANNEMARIE COI LERAY;4635;249,5;177740666;1;2;3;2;1;4;1;1;2;1;Baixo;Alto;Baixo;Baixo;Alto;Baixo;Baixo;Baixo;Baixo
1;2022;3;31;2092;0;147;60;58;69;2;0;58;4;75;11;44;0;14;31/03/2022;4518298;MAJOR;WHEN YOURE GONE;SHAWN MENDES;2211;6,25;255120451;3;2;4;2;3;3;1;2;4;2;Baixo;Alto;Baixo;Alto;Alto;Baixo;Baixo;Alto;Baixo
2;2017;2;22;23375;21;103;61;47;65;3;0;17;4;336;188;2692;3;30;22/02/2017;6523480;MINOR;SOMETHING JUST LIKE THIS;THE CHAINSMOKERS COLDPLAY;26403;60,5;2204080728;1;4;2;2;2;2;1;3;3;2;Alto;Baixo;Baixo;Baixo;Baixo;Baixo;Alto;Alto;Baixo
